kohde,jasen,pvknro,sp,IKAL1,ASALUE,V1,V21,V22,V5,H1a_A,H1b_A
50497,1,2,1,6,3.0,430.0,0.0,0.0,10.0,2.0,2.0
50512,1,1,1,8,1.0,0.0,0.0,0.0,10.0,1.0,1.0
50512,1,2,1,8,1.0,0.0,0.0,0.0,20.0,1.0,1.0
50518,1,1,1,6,3.0,490.0,0.0,0.0,50.0,2.0,1.0
50518,1,2,1,6,3.0,70.0,0.0,70.0,20.0,2.0,1.0
50520,1,1,2,7,1.0,0.0,0.0,0.0,10.0,2.0,1.0
50520,1,2,2,7,1.0,0.0,0.0,0.0,70.0,2.0,1.0
50530,1,1,1,7,1.0,0.0,0.0,0.0,30.0,0.0,180.0
50530,1,2,1,7,1.0,460.0,0.0,0.0,10.0,0.0,0.0
50541,1,1,1,7,3.0,0.0,0.0,0.0,0.0,2.0,2.0
50541,1,2,1,7,3.0,0.0,0.0,0.0,60.0,2.0,2.0
50543,2,1,1,5,3.0,370.0,0.0,0.0,30.0,1.0,1.0
50543,2,2,1,5,3.0,0.0,0.0,20.0,10.0,1.0,1.0
50550,2,1,1,6,1.0,130.0,50.0,30.0,80.0,0.0,0.0
50550,2,2,1,6,1.0,550.0,40.0,0.0,20.0,0.0,0.0
50552,1,1,2,6,1.0,0.0,0.0,0.0,40.0,1.0,2.0
50552,1,2,2,6,1.0,0.0,0.0,0.0,70.0,1.0,2.0
50555,1,1,1,6,1.0,,,,,2.0,2.0
50555,1,2,1,6,1.0,,,,,2.0,2.0
50560,1,1,2,3,3.0,60.0,0.0,0.0,20.0,1.0,1.0
50560,1,2,2,3,3.0,0.0,0.0,0.0,0.0,1.0,1.0
50563,2,1,1,9,1.0,0.0,0.0,0.0,10.0,,
50563,2,2,1,9,1.0,0.0,0.0,0.0,20.0,,
50569,1,1,1,7,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50569,1,2,1,7,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50584,2,1,2,5,1.0,530.0,0.0,0.0,50.0,2.0,1.0
50584,2,2,2,5,1.0,60.0,0.0,0.0,40.0,2.0,1.0
50590,2,1,1,9,1.0,0.0,0.0,0.0,10.0,1.0,1.0
50590,2,2,1,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50591,2,1,1,6,1.0,760.0,0.0,0.0,0.0,2.0,1.0
50591,2,2,1,6,1.0,0.0,0.0,0.0,80.0,2.0,1.0
50597,1,1,1,5,1.0,430.0,0.0,0.0,10.0,1.0,1.0
50597,1,2,1,5,1.0,0.0,0.0,0.0,10.0,1.0,1.0
50600,1,1,2,6,2.0,460.0,0.0,0.0,10.0,1.0,1.0
50600,1,2,2,6,2.0,0.0,0.0,0.0,50.0,1.0,1.0
50602,2,1,2,9,1.0,0.0,0.0,0.0,100.0,2.0,2.0
50602,2,2,2,9,1.0,0.0,0.0,0.0,110.0,2.0,2.0
50605,2,1,1,4,1.0,0.0,0.0,0.0,40.0,1.0,1.0
50605,2,2,1,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50608,1,1,1,6,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50608,1,2,1,6,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50612,2,1,2,6,1.0,,90.0,50.0,70.0,1.0,
50612,2,2,2,6,1.0,0.0,90.0,20.0,110.0,1.0,1.0
50616,1,1,1,7,2.0,0.0,0.0,0.0,40.0,2.0,2.0
50616,1,2,1,7,2.0,0.0,0.0,0.0,0.0,2.0,2.0
50617,2,1,2,4,2.0,360.0,20.0,0.0,10.0,1.0,2.0
50617,2,2,2,4,2.0,420.0,70.0,20.0,30.0,1.0,2.0
50631,2,1,2,8,3.0,,,,,2.0,2.0
50631,2,2,2,8,3.0,,,,,2.0,2.0
50636,1,1,2,7,1.0,130.0,0.0,0.0,40.0,1.0,1.0
50636,1,2,2,7,1.0,430.0,0.0,0.0,10.0,1.0,1.0
50640,2,1,1,5,1.0,0.0,0.0,0.0,30.0,1.0,1.0
50640,2,2,1,5,1.0,530.0,70.0,0.0,0.0,1.0,1.0
50644,1,1,1,8,1.0,0.0,0.0,0.0,10.0,2.0,1.0
50644,1,2,1,8,1.0,0.0,0.0,,20.0,2.0,1.0
50645,1,1,2,4,3.0,0.0,0.0,,10.0,1.0,1.0
